epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.6374,1.84654,3.90657,3.10258,0.00737,0.34936,0.02931,0.01245,1.54275,3.54126,3.08016,2e-05,2e-05,2e-05
2,16.4665,1.82567,3.99001,3.0817,0.63848,0.07935,0.10276,0.05817,1.31114,3.29643,2.81726,4.9505e-05,4.9505e-05,4.9505e-05
3,21.0268,1.62016,3.54562,2.77102,0.70861,0.21875,0.21799,0.13483,0.9636,2.9379,2.4276,7.8416e-05,7.8416e-05,7.8416e-05
4,26.0044,1.35997,3.08144,2.55561,0.94989,0.15625,0.24308,0.17613,0.81597,2.88092,2.14314,0.000106733,0.000106733,0.000106733
5,30.3993,1.22084,2.77165,2.35087,0.84926,0.24707,0.30015,0.21645,0.79866,2.77782,2.03648,0.000134456,0.000134456,0.000134456
6,33.8387,1.24967,2.54236,2.33256,0.14373,0.76427,0.35262,0.28734,0.77402,2.63774,1.97443,0.000161585,0.000161585,0.000161585
7,37.1598,1.21706,2.28027,2.29565,0.51635,0.55099,0.54524,0.45507,0.75342,2.20686,1.93361,0.00018812,0.00018812,0.00018812
8,40.758,1.13529,2.04956,2.12994,0.55105,0.7235,0.71536,0.60658,0.76471,1.94391,1.91133,0.000214061,0.000214061,0.000214061
9,44.7791,1.17007,1.96202,2.28445,0.58493,0.77244,0.80747,0.65297,0.79133,1.47211,1.91737,0.000239408,0.000239408,0.000239408
10,47.7603,1.13908,1.86604,2.15868,0.68494,0.77197,0.85763,0.69651,0.78096,1.33396,1.87545,0.000264161,0.000264161,0.000264161
11,50.3805,1.13949,1.76234,2.19833,0.6188,0.94007,0.8825,0.72097,0.77222,1.18323,1.80537,0.00028832,0.00028832,0.00028832
12,53.016,1.11063,1.60663,2.1595,0.68161,0.94967,0.89956,0.73283,0.76709,1.15462,1.7954,0.000311885,0.000311885,0.000311885
13,55.9415,1.11548,1.60393,2.22859,0.69983,0.9391,0.88666,0.75312,0.72985,1.17328,1.76916,0.000334856,0.000334856,0.000334856
14,59.6869,1.06871,1.49966,2.19202,0.74272,0.86695,0.89657,0.76332,0.69015,1.12483,1.71778,0.000357233,0.000357233,0.000357233
15,63.4641,1.02115,1.41715,2.07142,0.7795,0.94276,0.88753,0.75509,0.7063,1.01114,1.70634,0.000379016,0.000379016,0.000379016
16,66.0299,1.07916,1.38673,2.16878,0.75362,0.95349,0.86653,0.72181,0.72961,0.95307,1.72486,0.000400205,0.000400205,0.000400205
17,68.6073,1.05184,1.31307,2.11411,0.83333,0.95795,0.90254,0.75149,0.72528,0.84248,1.7216,0.0004208,0.0004208,0.0004208
18,71.0912,1.01367,1.23807,2.03517,0.80063,0.95833,0.91401,0.76024,0.70973,0.81728,1.66574,0.000440801,0.000440801,0.000440801
19,74.0944,0.9596,1.18547,1.94486,0.78237,0.95833,0.92896,0.7767,0.71794,0.83278,1.67447,0.000460208,0.000460208,0.000460208
20,77.9472,1.03046,1.23309,2.14612,0.77776,0.94709,0.95836,0.80472,0.71794,0.82275,1.69757,0.000479021,0.000479021,0.000479021
21,80.9175,1.00281,1.15815,2.02311,0.83995,0.95833,0.98167,0.83308,0.70123,0.78169,1.67895,0.00049724,0.00049724,0.00049724
22,83.4519,0.98206,1.14867,2.00139,0.83818,0.95833,0.985,0.83917,0.65801,0.74625,1.63249,0.000514865,0.000514865,0.000514865
23,85.9265,0.91331,1.11212,1.9491,0.86549,0.95833,0.985,0.85691,0.63273,0.71676,1.63134,0.000531896,0.000531896,0.000531896
24,88.4909,0.92797,1.09602,2.0121,0.901,0.96451,0.995,0.88338,0.60957,0.68442,1.59914,0.000548333,0.000548333,0.000548333
25,91.6033,0.93676,1.03449,2.00201,0.95873,0.96482,0.995,0.87187,0.61753,0.65081,1.56711,0.000564176,0.000564176,0.000564176
26,95.4953,0.91978,1.02293,1.94,0.96782,0.96514,0.995,0.86029,0.65102,0.64797,1.56725,0.000579425,0.000579425,0.000579425
27,98.5996,0.88887,0.95956,1.85174,0.95878,0.97009,0.995,0.84208,0.6662,0.62145,1.60095,0.00059408,0.00059408,0.00059408
28,100.979,0.87468,0.97714,1.8901,0.93757,1,0.995,0.84346,0.65999,0.6024,1.57482,0.000608141,0.000608141,0.000608141
29,103.372,0.9032,0.94805,1.90654,0.93757,1,0.995,0.84346,0.65999,0.6024,1.57482,0.000621608,0.000621608,0.000621608
30,105.788,0.91862,0.98925,1.88632,0.93627,0.9982,0.995,0.84757,0.6514,0.59646,1.52081,0.000634481,0.000634481,0.000634481
31,108.904,0.8605,0.92232,1.84142,0.93855,0.99256,0.995,0.85057,0.66951,0.59319,1.53634,0.00064676,0.00064676,0.00064676
32,112.852,0.93492,0.99477,2.01342,0.96871,0.96369,0.995,0.85246,0.70964,0.59349,1.57724,0.000658445,0.000658445,0.000658445
33,116.109,0.87105,0.89197,1.89536,0.96871,0.96369,0.995,0.85246,0.70964,0.59349,1.57724,0.000669536,0.000669536,0.000669536
34,118.72,0.826,0.87027,1.82755,0.98506,0.95833,0.98929,0.82331,0.72368,0.63543,1.60738,0.0006733,0.0006733,0.0006733
35,121.153,0.84396,0.86467,1.90356,0.99204,0.966,0.995,0.84443,0.6963,0.61741,1.58117,0.0006634,0.0006634,0.0006634
36,123.618,0.87483,0.94594,1.98237,0.96935,0.99371,0.995,0.86311,0.67713,0.60267,1.58955,0.0006535,0.0006535,0.0006535
37,126.438,0.8917,0.88591,1.93073,0.96935,0.99371,0.995,0.86311,0.67713,0.60267,1.58955,0.0006436,0.0006436,0.0006436
38,130.603,0.88088,0.89099,1.96415,0.97587,0.99444,0.995,0.87117,0.65811,0.57276,1.59645,0.0006337,0.0006337,0.0006337
39,133.721,0.85334,0.81633,1.82469,0.97367,0.99467,0.995,0.86054,0.65627,0.55907,1.61106,0.0006238,0.0006238,0.0006238
40,136.341,0.83443,0.82966,1.85533,0.96451,0.99412,0.995,0.86471,0.65225,0.54717,1.54749,0.0006139,0.0006139,0.0006139
41,138.687,0.86912,0.82973,1.90194,0.96451,0.99412,0.995,0.86471,0.65225,0.54717,1.54749,0.000604,0.000604,0.000604
42,141.235,0.86721,0.8426,2.00508,0.98935,0.97049,0.995,0.85464,0.65236,0.52359,1.54414,0.0005941,0.0005941,0.0005941
43,144.407,0.84903,0.84473,1.83933,0.98918,0.97471,0.995,0.84779,0.65253,0.51168,1.56726,0.0005842,0.0005842,0.0005842
44,148.367,0.80921,0.80606,1.83518,0.98931,0.9761,0.995,0.84956,0.65447,0.51271,1.6022,0.0005743,0.0005743,0.0005743
45,151.485,0.76147,0.75458,1.75533,0.98931,0.9761,0.995,0.84956,0.65447,0.51271,1.6022,0.0005644,0.0005644,0.0005644
46,153.867,0.76388,0.77073,1.85213,0.97327,0.99462,0.995,0.85281,0.6501,0.50268,1.63392,0.0005545,0.0005545,0.0005545
47,156.435,0.77599,0.76176,1.79404,0.94362,1,0.98929,0.86794,0.62592,0.50989,1.5573,0.0005446,0.0005446,0.0005446
48,158.904,0.76097,0.74409,1.78204,0.9842,1,0.995,0.85221,0.64265,0.49991,1.54447,0.0005347,0.0005347,0.0005347
49,161.657,0.7927,0.80662,1.83774,0.9842,1,0.995,0.85221,0.64265,0.49991,1.54447,0.0005248,0.0005248,0.0005248
50,165.797,0.73924,0.70448,1.83193,0.98974,1,0.995,0.84072,0.65391,0.4861,1.53777,0.0005149,0.0005149,0.0005149
51,168.71,0.76975,0.74378,1.71612,0.98695,1,0.995,0.839,0.62705,0.4799,1.54148,0.000505,0.000505,0.000505
52,171.185,0.75779,0.73548,1.81738,0.98982,1,0.995,0.8358,0.61959,0.47453,1.52921,0.0004951,0.0004951,0.0004951
53,173.553,0.74275,0.70967,1.82333,0.98982,1,0.995,0.8358,0.61959,0.47453,1.52921,0.0004852,0.0004852,0.0004852
54,176.042,0.80628,0.79461,1.8837,0.98579,1,0.995,0.84271,0.62255,0.47629,1.50783,0.0004753,0.0004753,0.0004753
55,179.083,0.79396,0.76789,1.83927,0.98176,1,0.995,0.83225,0.64285,0.48024,1.52474,0.0004654,0.0004654,0.0004654
56,183.178,0.7438,0.70844,1.7207,0.97996,1,0.995,0.84795,0.6304,0.47973,1.53755,0.0004555,0.0004555,0.0004555
57,187.295,0.72654,0.68891,1.72245,0.97996,1,0.995,0.84795,0.6304,0.47973,1.53755,0.0004456,0.0004456,0.0004456
58,191.055,0.73632,0.70369,1.80742,0.98466,1,0.995,0.86128,0.63567,0.46933,1.61032,0.0004357,0.0004357,0.0004357
59,193.8,0.73586,0.69765,1.77053,0.98756,1,0.995,0.86354,0.63676,0.46469,1.63469,0.0004258,0.0004258,0.0004258
60,196.502,0.6939,0.64407,1.73886,0.99,1,0.995,0.84404,0.63587,0.46327,1.61171,0.0004159,0.0004159,0.0004159
61,200.063,0.70296,0.66895,1.71985,0.99,1,0.995,0.84404,0.63587,0.46327,1.61171,0.000406,0.000406,0.000406
62,203.763,0.73934,0.70739,1.74769,0.98951,1,0.995,0.8466,0.6432,0.45824,1.59457,0.0003961,0.0003961,0.0003961
63,206.504,0.67885,0.62629,1.6982,0.98986,1,0.995,0.84645,0.6445,0.45242,1.59019,0.0003862,0.0003862,0.0003862
64,208.875,0.7097,0.67036,1.72742,0.9909,1,0.995,0.8333,0.65182,0.45237,1.59762,0.0003763,0.0003763,0.0003763
65,211.373,0.696,0.66263,1.69379,0.9909,1,0.995,0.8333,0.65182,0.45237,1.59762,0.0003664,0.0003664,0.0003664
66,213.937,0.70791,0.70552,1.72504,0.99166,1,0.995,0.84055,0.64982,0.4552,1.59642,0.0003565,0.0003565,0.0003565
67,217.605,0.71436,0.71438,1.85953,0.99165,1,0.995,0.84307,0.63817,0.44275,1.58736,0.0003466,0.0003466,0.0003466
68,221.575,0.71699,0.69856,1.73504,0.99102,1,0.995,0.84875,0.62819,0.43096,1.57451,0.0003367,0.0003367,0.0003367
69,224.129,0.70088,0.66115,1.69685,0.99102,1,0.995,0.84875,0.62819,0.43096,1.57451,0.0003268,0.0003268,0.0003268
70,226.551,0.6555,0.63383,1.6459,0.98943,1,0.995,0.85311,0.62236,0.41801,1.56908,0.0003169,0.0003169,0.0003169
71,228.993,0.67181,0.65105,1.76761,0.98805,1,0.995,0.84619,0.61917,0.42035,1.55616,0.000307,0.000307,0.000307
72,231.657,0.71062,0.65804,1.83614,0.98895,1,0.995,0.8479,0.61818,0.41931,1.53345,0.0002971,0.0002971,0.0002971
73,235.124,0.72884,0.68166,1.80932,0.98895,1,0.995,0.8479,0.61818,0.41931,1.53345,0.0002872,0.0002872,0.0002872
74,239.16,0.6775,0.6455,1.73496,0.98898,1,0.995,0.8557,0.62869,0.41089,1.53161,0.0002773,0.0002773,0.0002773
75,241.817,0.66708,0.63048,1.63964,0.98806,1,0.995,0.86113,0.63898,0.41697,1.54127,0.0002674,0.0002674,0.0002674
76,244.355,0.70395,0.64367,1.72051,0.98665,1,0.995,0.85961,0.63385,0.4196,1.54236,0.0002575,0.0002575,0.0002575
77,246.825,0.67176,0.66247,1.70547,0.98665,1,0.995,0.85961,0.63385,0.4196,1.54236,0.0002476,0.0002476,0.0002476
78,249.95,0.74771,0.70292,1.82721,0.98736,1,0.995,0.85273,0.61293,0.42159,1.53998,0.0002377,0.0002377,0.0002377
79,254.118,0.63287,0.60472,1.63621,0.98796,1,0.995,0.84522,0.60157,0.42048,1.5582,0.0002278,0.0002278,0.0002278
80,258.453,0.68153,0.65379,1.81088,0.98802,1,0.995,0.84438,0.59751,0.42184,1.56553,0.0002179,0.0002179,0.0002179
81,261.593,0.66292,0.65757,1.70488,0.98802,1,0.995,0.84438,0.59751,0.42184,1.56553,0.000208,0.000208,0.000208
82,264.192,0.65503,0.61582,1.66318,0.98831,1,0.995,0.84153,0.5994,0.42028,1.57133,0.0001981,0.0001981,0.0001981
83,266.75,0.61732,0.6211,1.60589,0.98662,1,0.995,0.84429,0.6008,0.41652,1.56976,0.0001882,0.0001882,0.0001882
84,269.282,0.65896,0.62357,1.70678,0.98681,1,0.995,0.85212,0.604,0.41236,1.55981,0.0001783,0.0001783,0.0001783
85,272.131,0.64709,0.5925,1.68992,0.98681,1,0.995,0.85212,0.604,0.41236,1.55981,0.0001684,0.0001684,0.0001684
86,276.146,0.67746,0.6531,1.7743,0.98853,1,0.995,0.85256,0.60299,0.41261,1.55562,0.0001585,0.0001585,0.0001585
87,279.425,0.68681,0.65405,1.77531,0.9888,0.99964,0.995,0.8527,0.6045,0.4114,1.55261,0.0001486,0.0001486,0.0001486
88,281.899,0.6512,0.60636,1.69368,0.98844,0.99931,0.995,0.85531,0.60823,0.4101,1.55323,0.0001387,0.0001387,0.0001387
89,284.263,0.69416,0.63989,1.74163,0.98844,0.99931,0.995,0.85531,0.60823,0.4101,1.55323,0.0001288,0.0001288,0.0001288
90,286.666,0.61945,0.58689,1.71697,0.98812,0.99911,0.995,0.85592,0.61222,0.40944,1.56181,0.0001189,0.0001189,0.0001189
91,294.908,0.50464,0.6585,1.44412,0.98911,0.99908,0.995,0.85601,0.61715,0.40935,1.5663,0.000109,0.000109,0.000109
92,298.989,0.50845,0.63255,1.47718,0.99026,0.99873,0.995,0.84841,0.62219,0.4087,1.57279,9.91e-05,9.91e-05,9.91e-05
93,301.508,0.50852,0.62212,1.33397,0.99026,0.99873,0.995,0.84841,0.62219,0.4087,1.57279,8.92e-05,8.92e-05,8.92e-05
94,303.773,0.50619,0.60174,1.38913,0.99126,1,0.995,0.84471,0.62861,0.40915,1.57765,7.93e-05,7.93e-05,7.93e-05
95,306.477,0.4994,0.61353,1.3935,0.99066,1,0.995,0.84172,0.63126,0.40968,1.58129,6.94e-05,6.94e-05,6.94e-05
96,309.819,0.5288,0.61599,1.46446,0.99056,1,0.995,0.84265,0.63006,0.40771,1.58235,5.95e-05,5.95e-05,5.95e-05
97,313.468,0.47439,0.57584,1.48078,0.99056,1,0.995,0.84265,0.63006,0.40771,1.58235,4.96e-05,4.96e-05,4.96e-05
98,315.812,0.47058,0.57274,1.365,0.99116,1,0.995,0.84742,0.62694,0.40795,1.58017,3.97e-05,3.97e-05,3.97e-05
99,318.27,0.48458,0.60031,1.40132,0.9917,1,0.995,0.85217,0.62403,0.40636,1.57729,2.98e-05,2.98e-05,2.98e-05
100,320.583,0.49252,0.58336,1.40647,0.99215,0.99931,0.995,0.85433,0.61961,0.40626,1.5735,1.99e-05,1.99e-05,1.99e-05
